,Date,ALLY,AXP,BAC,BCS,BK,BMO,C,CFG,COF,DB,DFS,FITB,GS,HBAN,HSBC,JPM,KEY,MS,MTB,MUFG,NTRS,Open,PNC,RF,SAN,SCHW,STT,TD,TFC,UBS,cor,cor_lw,eig,banks_index,spread,index,spread_ch
162,2000-08-28,,0.0585633367617957,-0.0012075558826892818,0.008403198274834045,-0.0012366760101918395,0.010526823555062848,0.03374419615637825,,0.0268239817427971,-0.011173247373308604,,0.008426847108750302,0.025654204557275184,-0.014925183539464593,-0.0017182516470185538,0.012004844353191713,0.019479798541666815,0.016050022556716392,0.007845049244338709,,0.026065982332429627,0.011283932658464613,0.003222469882557588,0.008849328162240377,-0.017045304706702624,0.020906541040545568,-0.006629618582418839,0.012528643656374516,0.009456147813381666,0.006375597454023385,0.2887353347172189,0.29258154868826947,0.34654593049506405,0.008902642906803315,1.72,0.009874494381010956,0.0117647058823529
171,2000-09-11,,0.01958754952404007,0.011173516292573016,-0.005050051497815455,0.024475013221341158,0.015059952847790159,0.004424127328648719,,0.008153577257244526,-0.004444641874060573,,0.014102339016522913,0.06237398668739558,0.013745407736543314,-0.002531576716937489,-0.005405092605695105,0.080554566033602,0.036729837597039294,-0.00804081232628795,,0.014265130313739327,-0.02655418118956554,0.008205281995701474,0.015543204512872277,0.005987943729638623,0.011647963293021313,0.009178741532154255,0.006564462718140929,0.01742947043055154,0.006108292483331779,0.2964475803272968,0.3145044325849222,0.3647922288117078,0.048296795840289786,1.72,-0.007932524517378803,0.0
176,2000-09-18,,-0.022128150008772995,-0.021640122136687312,-0.009912914649655602,-0.030048132895066804,-0.022472140273260832,-0.028376622236894966,,-0.03710918028821264,0.004545515921753562,,-0.027522394194152144,-0.05055071108021203,-0.05633816691622662,-0.034300829761546026,-0.05216291089194258,-0.04134363448078382,-0.05076092988110836,-0.04497559504979709,,-0.03372363295398206,0.018466155366506642,-0.04089999496576724,-0.027778342914203003,-0.03488398585667096,-0.08510603769312008,-0.0422896154758684,-0.01244796430131101,-0.025157616785623782,-0.02709774290072675,0.33173435618435143,0.36726129017705367,0.41035010820735296,-0.028742668391504744,1.7,-0.019197016665272626,-0.011627906976744207
181,2000-09-25,,0.021276237114500107,0.0,0.005948762958200238,-0.006068496038757365,0.004213642689419483,0.02606608068262717,,0.04866441329406945,-0.016591381554729834,,0.014175107732222969,0.014146118836112498,0.02247236904788763,0.009530760693131413,-0.005291236790851528,0.03191491326183615,0.02070417457028828,0.0048257376163143295,,0.02372946678853949,-0.02065426225270861,0.029787805179662286,0.01126747485620605,-0.005746969461732476,-0.028571164441814845,0.05650532027599375,0.008621021456457045,0.012903744275247764,0.0066135181818849365,0.33918728175854806,0.3202144361376597,0.41723301481519154,-0.018937881383518707,1.67,-0.011659142185871385,-0.01764705882352946
186,2000-10-02,,0.037037011109983364,0.013126120322913826,-0.005088126152234085,0.0011068834776071235,-0.004149061432801027,0.024277488304085937,,0.006245159817244161,0.0,,0.06264485491169691,0.011507288789383452,0.03829804303566853,-0.007702299449108385,0.028416927412378223,0.004937944813413475,-0.00888607971140487,0.011745279126670116,,-0.018284545653136974,0.0049810798047090765,0.02019257222122528,0.03581250302779715,-0.005714209482474919,-0.013216253824001378,0.013143746174621329,-0.002119096050190228,0.012447714197808102,0.019933682338021175,0.30730124601040043,0.26327161743526706,0.38417399197654617,0.023829820139285918,1.66,-0.008421193480168454,-0.005988023952095856
191,2000-10-09,,-0.022653479024752343,-0.020580728096939893,-0.02694933845909364,-0.005787140302463856,-0.0026426348785090203,-0.016355091881095518,,0.005654817094334907,-0.016491812861427535,,-0.020111038241937162,-0.03329577982233978,-0.017467780703898428,-0.015113664200612553,-0.01895056640349635,-0.010152495376077653,-0.011869127694201786,-0.0029244136994872605,,0.003021168108263028,0.03775798505273864,-0.023562646707206314,-0.008498917346438706,-0.01764714777986265,-0.060483539665055264,-0.014073105117305196,-0.016528281179822968,-0.010638927247176078,-0.03982463556043603,0.34562030778190594,0.3088708137294604,0.4321047775129159,-0.021250267028386283,1.69,-0.019164389582164154,0.01807228915662651
196,2000-10-16,,0.033603407417256426,-0.029529454034276204,-0.01754405865940123,0.04278688796209207,-0.025640845984328364,0.020075141736074498,,0.029519705451820588,0.008417595504072617,,0.022484603957766636,0.020935584120014505,0.023584761735370385,0.029134634923091207,-0.003150485337747977,0.007958050887140411,-0.006394144492211318,-0.006352752195660671,,0.0,-0.045993635325816795,0.021428134912653052,-0.014705566608611775,-0.012657974011746398,0.0039843043456093685,0.007458704829688134,-0.03278695694683342,0.008810730920147503,-0.016191874027833286,0.43229634881883006,0.4061668914741571,0.513540718562133,-0.0754562431360527,1.76,-0.024712699543926853,0.041420118343195256
201,2000-10-23,,-0.030100928418506756,0.0,0.009174160411557386,0.001196161616646929,0.013255165880120767,-0.009816700454643446,,-0.03839152429375081,-0.024000023170776763,,-0.019207277684405777,-0.023824216204693882,-0.02843607339196952,0.0239565606688803,0.0,0.011110665370848372,-0.036293168371982154,-0.005398345804124127,,-0.013256514872044822,0.008818077346754882,-0.0030894555129894474,-0.02089579952513787,-0.01273885575827316,-0.011905149294671014,0.008357079903940079,0.023809607625418394,-0.004329357444928128,-0.004079916712365184,0.4589595024665713,0.4483941493986054,0.5204245552077776,-0.00507222548232289,1.83,0.01656273171279432,0.03977272727272729
206,2000-10-30,,0.04703217557838202,0.04589686750679345,0.0050423556557877,0.06293722744054464,0.028011321435351233,0.02611898277133462,,0.028895854985375502,0.0,,-0.002398094544121543,0.03763414164720191,0.058558315581821674,0.009857333783996447,0.024890166338098707,0.03937041164726418,0.018095619110627847,-0.002990975555230646,,0.06666584205067405,-0.027764324434629062,0.03578398303097319,0.045976834541285205,0.0,0.07185626019991553,0.03907659291485466,0.0022782138236394633,0.028629517394785697,0.002301529594335605,0.47275522244028306,0.4749536664336756,0.5297923644535024,0.03516141311440624,1.87,-0.01242016206191543,0.021857923497267784
211,2000-11-06,,0.016771352578065724,0.04878107246617813,-0.031712141875786415,0.010799151995575684,0.00820772118936941,0.017381524023661,,0.042166988899574154,-0.024285622306597365,,-0.0024066062619528816,-0.04355965080910018,0.02183400608688091,0.013367167214379139,0.023909700582809945,0.0,-0.039640622082666055,-0.0019191013047979988,,0.016558245985587527,-0.010324246662248848,-0.009233678672217471,0.023684387536288876,-0.018292845746493258,0.014337342672955167,0.00743609839933157,0.02449840025691552,-0.0038166889302793106,0.004366324214725159,0.47365013611819545,0.4741799095920163,0.524921428279945,0.06665454116806302,1.86,0.035648570780618005,-0.005347593582887722
